,,,,,
,,,,,
,TIPO CONSULTA,MES,CANAL ,CANTIDAD,PORCENTAJE
,DNI Mayor,ENERO,ALÓ RENIEC,"4,389",32.4%
,DNI Electrónico,ENERO,ALÓ RENIEC,"1,146",8.5%
,Certificaciones y Habilitaciones,ENERO,ALÓ RENIEC,748,5.5%
,Registros Civiles,ENERO,ALÓ RENIEC,"3,356",24.8%
,Certificación Digital,ENERO,ALÓ RENIEC,102,0.8%
,Agencias/Horarios/Anexos,ENERO,ALÓ RENIEC,509,3.8%
,Citas Especiales,ENERO,ALÓ RENIEC,14,0.1%
,Incidencias/Sugerencias,ENERO,ALÓ RENIEC,42,0.3%
,Estado de Trámite,ENERO,ALÓ RENIEC,"2,436",18.0%
,Otros,ENERO,ALÓ RENIEC,807,6.0%
,DNI Mayor,ENERO,CORREO,"1,020",17.50 %
,DNI Menor,ENERO,CORREO,31,0.53 %
,DNI Electrónico,ENERO,CORREO,298,5.11 %
,Certificaciones y Habilitaciones,ENERO,CORREO,380,6.52 %
,Registros Civiles,ENERO,CORREO,"1,161",19.91 %
,Proceso Electoral,ENERO,CORREO,1,0.02 %
,Certificación Digital,ENERO,CORREO,39,0.67 %
,Archivo Registral,ENERO,CORREO,52,0.89 %
,Vínculo de Parentesco,ENERO,CORREO,1,0.02 %
,Agencias/Horarios/Anexos,ENERO,CORREO,79,1.36 %
,Citas Especiales,ENERO,CORREO,428,7.34 %
,Incidencias/Sugerencias,ENERO,CORREO,268,4.60 %
,Servicios en Línea,ENERO,CORREO,7,0.12 %
,Estado de Trámite,ENERO,CORREO,"1,811",31.06 %
,Otros,ENERO,CORREO,254,4.36 %
,DNI Mayor,ENERO,REDES,865,17.04 %
,DNI Menor,ENERO,REDES,435,8.57 %
,DNI Electrónico,ENERO,REDES,654,12.88 %
,Certificaciones y Habilitaciones,ENERO,REDES,297,5.85 %
,Registros Civiles,ENERO,REDES,780,15.37 %
,Certificación Digital,ENERO,REDES,22,0.43 %
,Agencias/Horarios/Anexos,ENERO,REDES,461,9.08 %
,Citas Especiales,ENERO,REDES,17,0.33 %
,Incidencias/Sugerencias,ENERO,REDES,123,2.42 %
,Estado de Trámite,ENERO,REDES,717,14.13 %
,Otros,ENERO,REDES,705,13.89 %
,DNI Mayor,ENERO,CHAT,403,9.98 %
,Certificaciones y Habilitaciones,ENERO,CHAT,192,4.75 %
,Registros Civiles,ENERO,CHAT,"2,278",56.39 %
,Proceso Electoral,ENERO,CHAT,3,0.07 %
,Certificación Digital,ENERO,CHAT,22,0.54 %
,Archivo Registral,ENERO,CHAT,15,0.37 %
,Agencias/Horarios/Anexos,ENERO,CHAT,51,1.26 %
,Citas Especiales,ENERO,CHAT,3,0.07 %
,Incidencias/Sugerencias,ENERO,CHAT,586,14.50 %
,Servicios en Línea,ENERO,CHAT,4,0.10 %
,Estado de Trámite,ENERO,CHAT,73,1.81 %
,Otros,ENERO,CHAT,410,10.15 %
,DNI /DNIe,ENERO,CENTRAL,18,0.17 %
