ID,DENOMINACION,MARCA,CATEGORIA,SUB CATEGORIA,PESO NETO TOTAL,ESTADO,CONDICION
1,ACUMULADOR DE ENERGIA-EQUIPO DE UPS,FORZA,HERRAMIENTAS ELECTRICAS Y ELECTRONICAS,HERRAMIENTAS ELECTRICAS Y ELECTRONICAS,"3,3",COMPLETO,INOPERATIVO
2,ACUMULADOR DE ENERGIA-EQUIPO DE UPS,S/M,HERRAMIENTAS ELECTRICAS Y ELECTRONICAS,HERRAMIENTAS ELECTRICAS Y ELECTRONICAS,40,COMPLETO,INOPERATIVO
3,CALCULADORA ELECTRICA,SHARP,EQUIPOS DE INFORMATICA Y TELECOMUNICACIONES,EQUIPOS DE INFORMATICA ,"2,2",COMPLETO,INOPERATIVO
4,CALCULADORA ELECTRICA,CASIO,EQUIPOS DE INFORMATICA Y TELECOMUNICACIONES,EQUIPOS DE INFORMATICA ,1.56,COMPLETO,INOPERATIVO
5,CAPTURADOR DE IMAGEN-SCANNER,ACER,EQUIPOS DE INFORMATICA Y COMUNICACIONES,EQUIPOS DE IMPRESION,2,COMPLETO,INOPERATIVO
6,CARGADOR DE BATERIA EN GENERAL,SONY,HERRAMIENTAS ELECTRICAS Y ELECTRONICAS,HERRAMIENTANELECTRICA,"0,1",COMPLETO,INOPERATIVO
7,CARGADOR DE BATERIA PARA FILMADORA,SONNY,HERRAMIENTAS ELECTRICAS Y ELECTRONICAS,HERRAMIENTA ELECTRICA,"0,5",COMPLETO,INOPERATIVO
8,MONITOR,PHILIPS,EQUIPOS  DE INFORMATICA Y TELECOMUNICACIONES,EQUIPO DE  INFORMATICA,3,COMPLETO,INOPERATIVO
9,MONITOR,SAMSUNG,EQUIPOS  DE INFORMATICA Y TELECOMUNICACIONES,EQUIPO DE  INFORMATICA,12.44,COMPLETO,INOPERATIVO
10,MONITOR,SAMSUNG,EQUIPOS  DE INFORMATICA Y TELECOMUNICACIONES,EQUIPO DE  INFORMATICA,13.64,COMPLETO,INOPERATIVO
11,DESTRUCTOR DE DOCUMENTOS,OFITECH,HERRAMIENTAS ELECTRICAS Y ELECTRONICAS,HERRAMIENTAS ELECTRICAS  ,4,COMPLETO,INOPERATIVO
12,EQUIPO DE SONIDO,PANASONIC,APARATOS ELECTRONICOS DE CONSUMO,APARATOS ELECTRONICOS DE CONSUMO,6.1,COMPLETO,INOPERATIVO
